Fecha,%_SLA,AHT (avg),Average of % Reopen,Average of AWT,Average of CWT,Average of SAT,HC_INFLOW,Average of RT (Min)
2024-11-25 00:00:00,"88,4 %",7.361041666666666,0.4126714285714287,3.0885416666666665,4.645208333333334,143.08291666666665,2.250820537304526,230.82958333333332
2024-11-26 00:00:00,"72,5 %",7.423749999999999,0.37961666666666655,10.632708333333333,3.30875,130.72354166666665,2.4218110434510374,240.79416666666668
2024-11-27 00:00:00,"72,8 %",6.791250000000001,0.4147619047619048,8.304791666666667,10.304791666666667,112.32020833333333,2.6578199978050376,226.02958333333333
2024-11-28 00:00:00,"58,7 %",7.41375,0.35003095238095233,12.015208333333334,6.587291666666666,90.85833333333333,2.689572773581648,233.08270833333333
2024-11-29 00:00:00,"78,8 %",7.981875,0.40982708333333323,4.718333333333333,7.225833333333333,112.60770833333333,2.5520567679292125,220.00875
2024-11-30 00:00:00,"80,0 %",7.388333333333333,0.3647166666666667,12.439375,11.063125,143.13583333333335,2.6337920583282783,263.59291666666667
2024-12-01 00:00:00,"82,8 %",7.557708333333333,0.3866047619047621,4.968958333333333,10.202916666666667,186.75770833333334,2.9296634822362386,300.593125
2024-12-02 00:00:00,"85,6 %",7.831666666666667,0.450645238095238,7.511666666666667,8.41375,154.90291666666667,2.6094839126688294,295.61104166666667
2024-12-03 00:00:00,"35,6 %",7.823958333333334,0.41997380952380936,33.63104166666667,8.581666666666667,96.64791666666667,3.6834243009442402,258.5310416666667
2024-12-04 00:00:00,"77,0 %",6.529583333333334,0.3869357142857142,12.012916666666667,7.192083333333334,49.883125,2.877505332664757,202.39229166666667
2024-12-05 00:00:00,"84,8 %",8.110833333333334,0.4674571428571429,7.708749999999999,6.3027083333333325,73.59291666666667,2.482920666866667,171.09687499999998
2024-12-06 00:00:00,"80,7 %",7.1504166666666675,0.44100000000000006,8.858125,3.8989583333333333,40.86708333333333,2.576887559594454,112.413125
2024-12-07 00:00:00,"83,8 %",8.454791666666667,0.43614999999999987,14.017708333333333,4.084791666666667,39.95520833333333,2.3189614588845227,117.93187499999999
2024-12-08 00:00:00,"86,6 %",7.791458333333334,0.3387541666666667,9.786458333333334,2.3325,31.419583333333335,2.589557104524991,83.94895833333334
